log,arm,task,n_labels,n_train_samples,seed,value,run
BPI20ID,pfm,remaining_time,all,4514,1,13.58076286315918,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,all,4514,2,13.6592378616333,2026-09-11T10:25:26
BPI20ID,pfm_ft,next_time,0,0,0,4.521254062652588,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,0,0,1,4.521254062652588,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,0,0,2,4.521254062652588,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,10,10,0,4.167652130126953,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,10,10,1,4.017573833465576,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,10,10,2,4.639764785766602,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,100,100,0,4.121598243713379,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,100,100,1,4.352493762969971,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,100,100,2,4.1268310546875,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,1000,1000,0,3.5589773654937744,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,1000,1000,1,3.7377781867980957,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,1000,1000,2,3.946516275405884,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,30,30,0,5.0831379890441895,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,30,30,1,3.707340955734253,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,30,30,2,3.9237618446350098,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,300,300,0,3.5792183876037598,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,300,300,1,3.576078414916992,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,300,300,2,3.912214994430542,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,5000,4514,0,3.77911114692688,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,5000,4514,1,3.4641530513763428,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,5000,4514,2,3.6779348850250244,2026-09-11T10:32:30
BPI20ID,pfm_ft,next_time,all,4514,0,3.77911114692688,2026-09-11T10:30:02
BPI20ID,pfm_ft,next_time,all,4514,1,3.4641530513763428,2026-09-11T10:31:23
BPI20ID,pfm_ft,next_time,all,4514,2,3.6779348850250244,2026-09-11T10:32:30
BPI20ID,pfm_ft,remaining_count,0,0,0,6.089582920074463,2026-09-11T10:30:02
BPI20ID,pfm_ft,remaining_count,0,0,1,5.977731704711914,2026-09-11T10:31:23
BPI20ID,pfm_ft,remaining_count,0,0,2,5.465451717376709,2026-09-11T10:32:30
BPI20ID,pfm_ft,remaining_count,10,10,0,1.350659728050232,2026-09-11T10:30:02
